+====================+===================+==================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                              |
+====================+===================+==================================================+
| dut_clk_pin        | emu_clk_pin       | Memory.0.1.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.1.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.7.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.4.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.6.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.6.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.7.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.4.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.3.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.5.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.2.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.5.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.2.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.3.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.0.genblk1.genblk1.upper/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.1.genblk1.genblk1.lower/ADDRARDADDR[15] |
| dut_clk_pin        | emu_clk_pin       | Memory.0.4.genblk1.genblk1.upper/ADDRARDADDR[15] |
| dut_clk_pin        | emu_clk_pin       | Memory.0.3.genblk1.genblk1.upper/ADDRARDADDR[15] |
| dut_clk_pin        | emu_clk_pin       | Memory.0.4.genblk1.genblk1.lower/ADDRARDADDR[15] |
| dut_clk_pin        | emu_clk_pin       | Memory.0.1.genblk1.genblk1.upper/ADDRARDADDR[15] |
| dut_clk_pin        | emu_clk_pin       | Memory.0.0.genblk1.genblk1.lower/ADDRARDADDR[7]  |
| dut_clk_pin        | emu_clk_pin       | Memory.0.6.genblk1.genblk1.lower/ADDRARDADDR[15] |
